station,date,layer,salzone_cedr,salzone_calc,salzone_johnson,salzone_diff,salinity,salinity_johnson,sal_diff
le2.2,1994-04-04,ap,o,m,o,TRUE,6.33833333333333,3.85,2.48833333333333
cb5.2,1985-04-08,ap,m,p,m,TRUE,18.3075,15.87,2.4375
cb6.4,1994-03-07,ap,m,p,m,TRUE,20.3111111111111,17.9,2.41111111111111
cb5.2,1992-08-11,ap,m,p,m,TRUE,18.373,16.02,2.353
cb6.4,1994-09-12,ap,m,p,m,TRUE,20.0444444444444,17.7,2.34444444444445
wt5.1,1990-04-17,ap,o,m,o,TRUE,6.48466666666667,4.15,2.33466666666667
cb5.2,1987-08-17,ap,m,p,m,TRUE,18.713125,16.38,2.333125
cb6.4,2004-05-12,ap,p,p,m,TRUE,19.5566666666667,17.24,2.31666666666667
cb5.2,1992-07-20,ap,m,p,m,TRUE,19.4320833333333,17.15,2.28208333333333
cb5.2,1991-08-20,ap,m,p,m,TRUE,19.2875,17.01,2.2775
cb6.4,1992-05-11,ap,m,p,m,TRUE,20.1666666666667,17.9,2.26666666666667
cb5.2,1992-04-27,ap,m,p,m,TRUE,18.3591304347826,16.1,2.25913043478261
wt5.1,1994-07-12,ap,o,m,o,TRUE,7.0625,4.83,2.2325
cb2.2,1987-04-22,ap,o,o,f,TRUE,2.499,0.3,2.199
cb5.2,1992-09-08,ap,m,p,m,TRUE,19.0039130434783,16.81,2.19391304347826
cb5.2,1992-09-22,ap,m,p,m,TRUE,18.8,16.61,2.19
cb4.3c,1985-09-10,ap,m,p,m,TRUE,19.317,17.16,2.157
ret4.3,2005-04-05,ap,o,m,o,TRUE,5.4,3.26,2.14
cb6.1,1997-07-15,ap,m,p,m,TRUE,18.2890909090909,16.16,2.12909090909091
ret4.3,2004-09-07,ap,o,m,o,TRUE,5.30666666666667,3.21,2.09666666666667
